openness,backness
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
0.4545,1.0000
