openness,backness
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
0.9091,0.4444
