openness,tenseness
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
0.2759,1.0000
